数据更新日期,标题,煤炭种类,当日价格,当日涨幅
2023/9/25 16:30,2023年9月25日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,997,-8
2023/9/22 16:32,2023年9月22日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1005,-12
2023/9/21 16:32,2023年9月21日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1017,5
2023/9/20 16:38,2023年9月20日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,1012,37
2023/9/19 16:48,2023年9月19日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,975,20
2023/9/18 16:31,2023年9月18日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,955,27
2023/9/18 16:31,2023年9月15日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,928,19
2023/9/14 16:31,2023年9月14日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,909,19
2023/9/13 16:29,2023年9月13日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,890,12
2023/9/12 16:32,2023年9月12日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,878,6
2023/9/11 16:31,2023年9月11日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,872,-5
2023/9/8 16:32,2023年9月08日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,877,-2
2023/9/7 16:30,2023年9月07日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,879,0
2023/9/6 16:37,2023年9月06日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,879,7
2023/9/5 16:30,2023年9月05日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,872,2
2023/9/4 16:32,2023年9月04日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,870,12
2023/9/1 16:30,2023年9月01日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,858,13
2023/8/31 16:32,2023年8月31日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,845,10
2023/8/30 16:37,2023年8月30日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,835,9
2023/8/29 16:34,2023年8月29日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,826,5
2023/8/28 16:30,2023年8月28日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,821,-2
2023/8/25 16:32,2023年8月25日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,823,0
2023/8/24 16:32,2023年8月24日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,823,3
2023/8/23 16:31,2023年8月23日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,820,3
2023/8/22 16:36,2023年8月22日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,817,5
2023/8/21 16:31,2023年8月21日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,812,4
2023/8/18 16:32,2023年8月18日环渤海水泥煤现货参考价,水泥煤5500K 1.0S,808,-2
