数据更新时间,4500k动力煤价格,4500k涨幅,5000k动力煤价格,5000k涨幅,5500k动力煤价格,5500k涨幅
2023-09-26 16:34:00,749,-3,882,-4,985,-10
2023-09-25 16:27:00,752,-8,886,-6,995,-9
2023-09-22 16:32:00,760,-7,892,-8,1004,-10
2023-09-21 16:34:00,767,,900,5,1014,6
2023-09-20 16:40:00,767,31,895,32,1008,35
2023-09-19 16:50:00,736,15,863,23,973,21
2023-09-18 16:31:00,721,22,840,15,952,25
2023-09-15 16:32:00,699,13,825,17,927,19
2023-09-14 16:35:00,686,18,808,26,908,23
2023-09-13 16:28:00,668,3,782,12,885,10
2023-09-12 16:31:00,665,0,770,2,875,5
2023-09-11 16:30:00,665,0,768,-3,870,-6
2023-09-08 16:32:00,665,-3,771,-3,876,-3
2023-09-07 16:31:00,668,0,774,-4,879,0
2023-09-06 16:39:00,668,6,778,6,879,6
2023-09-06 16:28:00,662,7,772,10,873,4
2023-09-04 16:31:00,655,13,762,11,869,13
2023-09-01 16:41:00,642,10,751,13,856,13
2023-08-31 16:33:00,632,7,738,12,843,10
2023-08-30 16:36:00,625,5,726,3,833,5
2023-08-29 16:33:00,620,5,723,8,828,8
2023-08-28 16:30:00,615,-2,715,-4,820,-2
2023-08-25 16:31:00,617,2,719,0,822,0
2023-08-24 16:31:00,615,3,719,3,822,2
2023-08-23 16:30:00,612,6,716,6,820,5
2023-08-22 16:35:00,606,4,710,4,815,5
2023-08-21 16:31:00,602,2,706,5,810,3
2023-08-18 16:31:00,600,0,701,1,807,-1
2023-08-17 16:30:00,600,-2,700,-3,808,-8
2023-08-16 16:37:00,602,-14,703,-14,816,-7
2023-08-15 16:30:00,616,-5,717,-5,823,-3
2023-08-14 16:30:00,621,-8,722,-5,826,-6
2023-08-11 16:29:00,629,-6,727,-7,832,-4
2023-08-10 16:30:00,635,-2,734,-2,836,-4
2023-08-09 16:40:00,637,-1,736,-1,840,0
2023-08-08 16:31:00,638,-1,737,-1,840,0
2023-08-07 16:29:00,639,-1,738,0,840,-1
2023-08-04 16:32:00,640,-5,738,-3,841,-2
2023-08-03 16:33:00,645,0,741,-3,843,-4
2023-08-02 16:30:00,645,-4,744,-6,847,-5
2023-08-01 16:31:00,649,-4,750,-5,852,-3
2023-07-31 16:30:00,653,-5,755,-6,855,-5
2023-07-28 16:33:00,658,-2,761,-2,860,-3
2023-07-27 16:32:00,660,-5,763,-5,863,-5
2023-07-26 16:30:00,665,-1,768,-2,868,-2
2023-07-25 16:31:00,666,-2,770,-2,870,-3
2023-07-24 16:36:00,668,-7,772,-8,873,-6
2023-07-21 16:37:00,675,-5,780,-10,879,-10
2023-07-20 16:41:00,680,0,790,0,889,0
2023-07-19 16:36:00,680,3,790,6,889,6
2023-07-18 16:34:00,677,12,784,13,883,19
2023-07-17 16:33:00,665,19,771,23,864,18
2023-07-14 16:31:00,646,3,748,4,846,4
2023-07-13 16:33:00,643,-3,744,-4,842,-6
2023-07-12 16:32:00,646,-4,748,-5,848,-6
2023-07-11 16:35:00,650,-4,753,-6,854,-6
2023-07-10 16:30:00,654,0,759,-1,860,0
2023-07-10 09:01:00,654,4,760,3,860,1
2023-07-07 09:01:00,650,3,757,2,859,6
2023-07-06 08:59:00,647,5,755,8,853,6
2023-07-05 09:00:00,642,3,747,2,847,5
2023-07-04 09:02:00,639,5,745,8,842,5
2023-07-03 09:02:00,634,8,737,7,837,8
2023-06-30 09:02:00,626,3,730,6,829,6
2023-06-29 09:01:00,623,8,724,9,823,10
2023-06-28 09:00:00,615,0,715,0,813,-1
2023-06-27 09:00:00,615,-7,715,-14,814,-15
2023-06-26 09:01:00,622,-14,729,-8,829,-6
2023-06-25 09:01:00,636,1,737,2,835,3
2023-06-21 09:00:00,635,7,735,9,832,14
2023-06-20 09:01:00,628,13,726,19,818,13
2023-06-19 09:00:00,615,12,707,15,805,12
2023-06-16 09:01:00,603,20,692,16,793,19
2023-06-15 09:00:00,583,10,676,9,774,8
2023-06-14 09:00:00,573,-3,667,-5,766,-9
2023-06-13 09:00:00,576,-14,672,-12,775,-8
2023-06-12 09:00:00,590,-13,684,-19,783,-13
2023-06-09 09:02:00,603,-7,703,-9,796,-6
2023-06-08 08:59:00,610,4,712,6,802,9
2023-06-07 08:59:00,606,12,706,19,793,15
2023-06-06 09:01:00,594,17,687,20,778,14
2023-06-05 09:00:00,577,-6,667,-2,764,-9
2023-06-02 09:01:00,583,-16,669,-27,773,-23
2023-06-01 09:00:00,599,-33,696,-29,796,-32
2023-05-31 09:02:00,632,-16,725,-23,828,-20
2023-05-30 09:00:00,648,-17,748,-23,848,-22
2023-05-29 09:00:00,665,-24,771,-30,870,-26
2023-05-26 09:00:00,689,-21,801,-30,896,-42
2023-05-25 09:01:00,710,-30,831,-18,938,-20
2023-05-24 09:01:00,740,-8,849,-7,958,-7
2023-05-23 09:01:00,748,-7,856,-4,965,-5
2023-05-22 09:07:00,755,-3,860,-6,970,-9
2023-05-19 09:01:00,758,0,866,0,979,-3
2023-05-18 09:00:00,758,0,866,3,982,0
2023-05-17 09:01:00,758,1,863,1,982,3
2023-05-16 09:01:00,757,0,862,0,979,-3
2023-05-15 09:00:00,757,0,862,-3,982,-2
2023-05-12 09:00:00,757,-1,865,-7,984,-2
2023-05-11 09:00:00,758,-9,872,-5,986,-5
2023-05-10 09:01:00,767,-3,877,-8,991,-4
2023-05-09 09:01:00,770,-4,885,-9,995,-11
2023-05-08 09:00:00,774,-5,894,-5,1006,-4
2023-05-06 09:00:00,779,0,899,0,1010,-1
2023-05-05 09:00:00,779,3,899,3,1011,5
2023-05-04 09:00:00,776,1,896,3,1006,5
2023-04-28 09:01:00,775,8,893,12,1001,8
2023-04-27 09:00:00,767,3,881,4,993,2
2023-04-26 09:01:00,764,-1,877,-3,991,-4
2023-04-25 09:01:00,765,-5,880,-5,995,-11
2023-04-24 09:01:00,770,-4,885,-12,1006,-11
2023-04-23 09:00:00,774,-11,897,-2,1017,-6
2023-04-21 09:00:00,785,0,899,-5,1023,-8
2023-04-20 09:00:00,785,-1,904,0,1031,-1
2023-04-19 09:01:00,786,12,904,21,1032,17
2023-04-18 09:00:00,774,7,883,9,1015,9
2023-04-17 08:59:00,767,0,874,6,1006,1
2023-04-14 09:04:00,767,0,868,0,1005,-5
2023-04-13 09:17:00,767,-8,868,-12,1010,-13
2023-04-12 09:00:00,775,-15,880,-14,1023,-4
2023-04-11 09:00:00,790,-12,894,-26,1027,-30
2023-04-10 09:00:00,802,-3,920,-4,1057,-10
2023-04-07 09:01:00,805,-9,924,-5,1067,-8
2023-04-06 09:00:00,814,-1,929,-2,1075,-5
2023-04-04 09:00:00,815,0,931,-5,1080,-8
2023-04-03 09:01:00,815,7,936,0,1088,-3
2023-03-31 09:00:00,808,0,936,3,1091,1
