RecruitPostName,Responsibility,LastUpdateTime
后台开发工程师(结算后台开发),"1.负责平台业务的结算平台设计、开发和维护工作；
2.负责平台业务的海量数据模型设计、数据开发等工作；
3.负责结算任务计算平台、底层领域模型、财务结算逻辑、公共库的建设，参与相关子系统及业务流程实现和优化工作；
4.负责平台业务结算平台运营体系、结算监管、结算分析等工作。",2023年09月26日
高级后台开发,"1.负责QQ游戏中心绿洲资源管理平台后台的开发和维护工作，为数百内外部用户提供高效稳定的运营管理平台；
2.负责QQ游戏中心核心资源渠道投送系统的开发和维护工作，支撑每天亿级用户的营销资源触达；
3.负责QQ游戏中心mie活动平台后台的开发和维护工作，实现丰富定制化活动玩法，助力不同运营阶段的游戏推广；
4.负责QQ游戏中心实时和离线数据的开发管理，包括百亿级别的运营资源数据、人群模型数据等等，覆盖从离线批处理到实时流处理各种技术场景；
5.结合业务需要进行新技术的研究和落地，包括AIGC、低代码编排等，不断提升游戏运营效率。",2023年12月03日
语音后台开发,"1.负责TTS、ASR、前处理等语音系统的工程服务、引擎的开发、优化、交付等；
2.负责语音系统最新算法的集成、工程化、效果验证、优化、上线；
3.语音相关业务、产品的工程支持，协助语音PaaS的业务方，在效果和性能上更好的落地。",2023年12月01日
引擎后台开发,"1.参与基础高精数据编译工具链，编译流程，监控与质检脚本等的开发工作，支持地图渲染，定位等业务的服务端开发部署工作；
2.应用系统的运行支持和维护，能跟踪、分析并解决线上问题；
3.跨团队沟通配合，完成相关任务。",2023年11月30日
web前端开发工程师(应用系统开发),"1.负责腾讯游戏供应链及相关系统前端开发及维护，有多语言系统开发经验优先；
2.独立完成供应链系统各模块前段的设计、开发、测试工作，能够解决开发中遇到的难点问题；
3.优化前端体验，提升界面的易用性；持续优化前端体验和页面响应速度，优化代码并保持良好兼容性，提升WEB界面的易用性；
4.保证所负责系统平台的安全性、稳定性、兼容性和易于使用和维护；
5.对Web前端技术有强烈兴趣，能对Web前沿技术研究和调研；
6.理解相关供应链管理业务知识，并能敏锐发现业务痛点，并提出系统解决方案。",2023年11月27日
GNSS定位后端开发,"1.参与地图数据自动化生产GNSS定位算法平台建设，负责GNSS定位算法模型的工程化和服务化，支持对内、对外提供服务接口；
2.参与通用算法微服务框架及服务治理平台的研发和迭代，引进腾讯云等基础设施中间件，提升算法快速应用落地能力；
3.参与算法模型部署架构设计，算法服务监控等关键架构问题和技术难题、推动技术革新，系统性能调优。",2023年11月30日
腾讯游戏前端开发,"1.负责数据治理平台及AIGC相关实验平台的web前端开发；
2.负责整个系统的前端架构设计、前端组件库的建设、优化Web页面性能、解决不同浏览器兼容性问题等；
3.预研前端新技术，结合业务场景做技术验证，帮助新技术在业务中落地，以提升研发效率和产品用户体验；
4.参与Code Review，持续帮助团队输出高质量的研发成果。",2023年11月15日
客户端开发,"1.负责应用宝客户端业务功能的开发工作，共同打造国内领先的应用分发市场；
2.负责对应用宝各项基础性能指标进行优化，追求Android的极致体验；
3.持续优化移动终端的架构，提升移动终端的可用性，性能和安全性，打造具备高度弹性的大终端架构；
4.基于Android平台的项目重点，负责难点技术的攻坚以及相关新技术，新框架的预研。",2023年11月15日
腾讯会议后台开发,"1.主要负责腾讯云办公协同产品研发工作，包括：办公协同软件后台开发；
2.办公协同软件运营平台开发；
3.办公协同软件交付流程建设；
4.办公协同软件效率平台开发。",2023年11月14日
腾讯会议后台开发,"1.主要负责腾讯云办公协同产品研发工作，包括；
2.办公协同软件后台开发；
3.办公协同软件运营平台开发；
4.办公协同软件交付流程建设；
5.办公协同软件效率平台开发。",2023年11月14日
